spotify_track_id	track_name	artist_name	popularity	acousticness	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	valence
6a4GH1gljLL7VvmO9u5O92	Don’t Break My Heart	The Weeknd	69	0.31	0.767	205469.0	0.618	0.0	10.0	0.179	-7.163	1.0	0.032	121.959	0.243
2SLwbpExuoBDZBpjfefCtV	Out of Time	The Weeknd	83	0.255	0.65	214194.0	0.76	0.0	0.0	0.339	-4.422	0.0	0.0446	93.057	0.838
4lRXXv5Cmi5gNK0iGRSQr0	Separate World	St. Lucia	36	0.0324	0.515	292720.0	0.934	0.0257	9.0	0.139	-5.605	1.0	0.0378	148.03	0.501
1E5Xu8dur0fAjSP1VpVhAZ	Best Friends	The Weeknd	72	0.436	0.737	163504.0	0.564	0.0	4.0	0.351	-7.045	0.0	0.105	90.0	0.528
2D4dV2KXDTszzJ3p3cFqhA	Less Than Zero	The Weeknd	76	0.00096	0.535	211814.0	0.791	0.000155	0.0	0.0788	-5.55	1.0	0.0327	142.981	0.5
2vgUijXOTRMnWXDtvgMp2b	Take My Breath	The Weeknd	74	0.0128	0.698	339023.0	0.769	0.00166	8.0	0.238	-7.154	1.0	0.0368	121.02	0.354
6zzdyvVWjGrQBraSvuqJPY	Starry Eyes	The Weeknd	69	0.465	0.309	148000.0	0.418	7.58e-05	9.0	0.295	-8.622	0.0	0.031	134.23	0.146
5XbA7TAqsD0fj0dGBrbb0D	I Heard You’re Married (feat. Lil Wayne)	The Weeknd	73	0.103	0.736	263642.0	0.848	0.0	9.0	0.299	-5.494	0.0	0.171	109.946	0.784
0mL82sxCRjrs3br407IdJh	Is There Someone Else?	The Weeknd	81	0.0388	0.702	199111.0	0.586	7.27e-05	9.0	0.156	-7.83	0.0	0.0313	134.951	0.608
2lBExcAjBgX7Jb480goU9B	Stars Align (with Drake)	Majid Jordan	70	0.021	0.763	260520.0	0.667	2.4e-05	2.0	0.0715	-6.285	1.0	0.085	95.864	0.75
3vJcz8exedHCjQ9ed95NqU	Every Angel is Terrifying	The Weeknd	64	0.109	0.447	167256.0	0.959	2.75e-05	0.0	0.0498	-5.59	1.0	0.348	118.167	0.46
50fSJw5yA1wTjvRTBw3nnp	Undress Me Now	Morcheeba	47	0.7	0.576	203773.0	0.352	0.27	7.0	0.16	-10.773	0.0	0.0268	95.484	0.36
41oqEfmwlZQyMPdkE16sE8	Life Is Good feat. Mos Def	DJ DECKSTREAM	27	0.0231	0.56	254093.0	0.865	0.0	7.0	0.13	-3.996	1.0	0.201	92.904	0.749
6TZFNPSXXXBakzy5oUDQhc	Out of Time	The Weeknd	62	0.244	0.629	214191.0	0.763	0.0	0.0	0.312	-4.279	0.0	0.0453	93.023	0.809
4hFMRhstDgryaAzsoA3Mih	Mama Saturn	Tanerélle	52	0.735	0.613	218881.0	0.236	2.42e-06	6.0	0.0952	-18.027	0.0	0.102	78.814	0.198
50cBJmEmPC0eOoFdawXSrD	"Disappointed - 2006 Remaster 7"" Single Mix"	Electronic	39	0.0712	0.547	263067.0	0.97	0.000796	0.0	0.702	-6.445	0.0	0.0438	125.822	0.692
25Imj6f1bElz4ioWIu0dTG	Heavy Weather	The Rubens	37	0.127	0.615	205040.0	0.878	0.0	8.0	0.345	-4.024	0.0	0.0341	89.97	0.662
5wyFsVGDdrOZM0nf2D4p8f	Out of Time - KAYTRANADA Remix / Radio Edit	The Weeknd	49	0.121	0.749	155556.0	0.676	1.82e-06	5.0	0.103	-8.413	0.0	0.356	107.908	0.672
5Ii750a5kcwanAaBfrOlZM	Sailing	Christopher Cross	51	0.638	0.319	256920.0	0.398	0.000245	9.0	0.25	-11.097	1.0	0.0381	73.647	0.161
4j6kId9QIqhoXvqHKgSKa0	Grapejuice	Harry Styles	89	0.357	0.645	191959.0	0.721	0.143	5.0	0.204	-4.394	1.0	0.0336	182.928	0.88
4Rrj1QxDqsj28gv9SiHQRA	Out of Time - KAYTRANADA Remix	The Weeknd	67	0.0962	0.742	275556.0	0.599	0.000578	1.0	0.0981	-8.796	1.0	0.297	108.283	0.573
5BQHyj5Pb3dUY8W6TSjeTF	Waves of Blue	Majid Jordan	59	0.00743	0.652	208747.0	0.861	2.25e-05	6.0	0.337	-4.863	0.0	0.0565	99.983	0.333
1ne9wOtDF2jM6Cm8WBkaER	Rocky Mountain High	John Denver	66	0.314	0.455	283640.0	0.437	0.0	4.0	0.501	-11.411	1.0	0.0278	81.396	0.724
2wtwGFoN5EhuYbbrVQDsQB	Dancing on a Dream (feat. Swae Lee)	Majid Jordan	52	0.00294	0.632	199000.0	0.904	0.0	7.0	0.301	-5.211	0.0	0.0377	102.038	0.524
02adJbZO7bHXJjboTwph45	Good Good	Tanerélle	50	0.386	0.554	225542.0	0.28	0.124	5.0	0.109	-12.15	0.0	0.043	116.285	0.127
5BfMJ6iytQnu1r7iiCYSXe	Intro	Khalid	54	0.308	0.213	213253.0	0.414	0.0257	0.0	0.0912	-9.725	1.0	0.0339	79.556	0.0553
1NlK2NtpuUazpziLhnJwEV	Phantom Regret by Jim	The Weeknd	63	0.75	0.394	179580.0	0.519	0.195	9.0	0.129	-11.042	0.0	0.0465	110.113	0.241
3KyKxJ4P3pVCgaZwaq2rUC	Gasoline	The Weeknd	74	0.000582	0.728	212166.0	0.741	0.00206	6.0	0.33	-7.075	0.0	0.0473	123.006	0.31
6ouv16a31Ye7CouHrXL1I1	Let's Get It On - Flight Facilities Remix	Marvin Gaye	59	0.0226	0.731	392752.0	0.752	2.92e-05	8.0	0.123	-4.724	1.0	0.0325	98.986	0.498
30ucZwV9PW1lwhIm3nuFCf	Masterpiece	The Rubens	48	0.55	0.596	216880.0	0.895	0.0	6.0	0.15	-3.813	1.0	0.0518	105.048	0.578
556Fdf9iUVDA2aSUDzlkNV	All Right	Christopher Cross	38	0.18	0.724	258716.0	0.471	0.0	6.0	0.129	-11.914	0.0	0.0371	132.714	0.559
5qydi00LDnZnQ2OUoQBJEE	()	St. Lucia	29	0.919	0.329	66067.0	0.31	0.0757	4.0	0.0925	-12.281	0.0	0.0452	116.461	0.249
62leJoS03BiNzdoQmb9ByN	Ride Like the Wind	Christopher Cross	47	0.347	0.669	275507.0	0.707	0.000716	0.0	0.0997	-13.66	0.0	0.0478	124.335	0.806
6GatnDEhYQLOdRzdVbJaky	Her	Majid Jordan	59	0.00372	0.675	300729.0	0.5	0.00268	1.0	0.114	-6.6	1.0	0.0516	90.029	0.0709
6aUfT9QOcTHhxLNrf1aVR8	Get Your Wish	Porter Robinson	54	0.0983	0.541	218510.0	0.685	0.0	11.0	0.124	-5.844	1.0	0.051	95.008	0.442
