name	genre
Dire Straits	soft rock
Nightwish	finnish metal
Nightwish	finnish power metal
Nightwish	gothic metal
Nightwish	gothic symphonic metal
Nightwish	opera metal
Nightwish	power metal
Nightwish	symphonic metal
Jeremy Soule	orchestral soundtrack
Jeremy Soule	scorecore
Jeremy Soule	soundtrack
Jeremy Soule	video game music
Linkin Park	alternative metal
Linkin Park	nu metal
Linkin Park	post-grunge
Linkin Park	rap metal
Red Hot Chili Peppers	alternative rock
Red Hot Chili Peppers	funk metal
Red Hot Chili Peppers	funk rock
Red Hot Chili Peppers	permanent wave
Hans Zimmer	german soundtrack
Hans Zimmer	orchestral soundtrack
Hans Zimmer	soundtrack
Faun	hurdy-gurdy
Faun	medieval folk
Faun	medieval rock
Bo Burnham	comic
Porcupine Tree	alternative metal
Porcupine Tree	art rock
Porcupine Tree	progressive metal
Porcupine Tree	progressive rock
Porcupine Tree	symphonic rock
The Pineapple Thief	alternative metal
The Pineapple Thief	modern progressive rock
The Pineapple Thief	neo-progressive
The Pineapple Thief	progressive metal
The Pineapple Thief	progressive rock
The Pineapple Thief	symphonic rock
Taylor Swift	pop
Backstreet Boys	boy band
Backstreet Boys	dance pop
Advaita	indian folk
Advaita	indian fusion
Advaita	indian indie
Advaita	indian rock
Yoko Shimomura	anime score
Yoko Shimomura	chiptune
Yoko Shimomura	japanese vgm
John Williams	orchestral soundtrack
John Williams	soundtrack
梶浦 由記	anime score
Boston	album rock
Boston	classic rock
Boston	country rock
Boston	hard rock
Boston	mellow gold
Boston	rock
Boston	soft rock
Yasuharu Takanashi	anime
Yasuharu Takanashi	anime score
Yasuharu Takanashi	japanese celtic
Celtic Woman	celtic
Celtic Woman	operatic pop
Avenged Sevenfold	alternative metal
Avenged Sevenfold	nu metal
Kyle Dixon & Michael Stein	horror synth
Kyle Dixon & Michael Stein	soundtrack
Mumford & Sons	modern folk rock
Mumford & Sons	modern rock
Mumford & Sons	stomp and holler
Mumford & Sons	uk americana
Grimes	art pop
Grimes	canadian electropop
Grimes	dance pop
Grimes	grave wave
Grimes	indietronica
Grimes	metropopolis
Grimes	pop
Marcin Przybyłowicz	orchestral soundtrack
Marcin Przybyłowicz	scorecore
Marcin Przybyłowicz	video game music
Indrani Sen	classic bangla pop
Indrani Sen	rabindra sangeet
Mikolai Stroinski	video game music
Iron Maiden	hard rock
Iron Maiden	metal
Iron Maiden	nwobhm
Iron Maiden	rock
The HU	mongolian alternative
The HU	oriental metal
Fleetwood Mac	album rock
Fleetwood Mac	classic rock
Fleetwood Mac	mellow gold
Fleetwood Mac	rock
Fleetwood Mac	soft rock
Fleetwood Mac	yacht rock
Ed Sheeran	pop
Ed Sheeran	uk pop
Srikanta Acharya	classic bangla pop
Srikanta Acharya	rabindra sangeet
Limp Bizkit	alternative metal
Limp Bizkit	funk metal
Limp Bizkit	nu metal
Limp Bizkit	rap metal
Anup Ghoshal	classic bangla pop
Static-X	alternative metal
Static-X	groove metal
Static-X	industrial metal
Static-X	industrial rock
Static-X	nu metal
Static-X	rap metal
Static-X	rap rock
Nobuo Uematsu	anime score
Nobuo Uematsu	chiptune
Nobuo Uematsu	final fantasy
Nobuo Uematsu	japanese classical
Nobuo Uematsu	japanese vgm
Nobuo Uematsu	orchestral soundtrack
Nobuo Uematsu	video game music
Wojciech Golczewski	epicore
Wojciech Golczewski	horror synth
Jacob Shea	soundtrack
Orthodox Celts	celtic rock
Weezer	alternative rock
Weezer	modern power pop
Weezer	modern rock
Weezer	permanent wave
Weezer	rock
Alan Walker	electro house
Bloodywood	comic metal
Bloodywood	indian metal
Percival Schuttenbach	polish folk metal
Percival Schuttenbach	polish metal
Percival Schuttenbach	slavic folk metal
Percival Schuttenbach	slavic metal
Percival Schuttenbach	video game music
Danny Elfman	orchestral soundtrack
Danny Elfman	soundtrack
Federico Dubbini	japanese vgm
Imagine Dragons	modern rock
Imagine Dragons	rock
Jack Wall	scorecore
Jack Wall	video game music
Lakkhichhara	classic bangla pop
Lakkhichhara	kolkata indie
Bryan Adams	canadian pop
Bryan Adams	canadian singer-songwriter
Bryan Adams	classic canadian rock
Bryan Adams	heartland rock
Bryan Adams	mellow gold
Bryan Adams	soft rock
Wild Child	austin americana
Wild Child	austindie
Wild Child	deep new americana
Wild Child	folk-pop
Wild Child	indie folk
Wild Child	indie pop
Wild Child	new americana
Wild Child	stomp and holler
Bonobo	downtempo
Bonobo	electronica
Bonobo	jazztronica
Bonobo	ninja
Bonobo	nu jazz
Bonobo	trip hop
ODESZA	chillwave
ODESZA	ninja
Kota the Friend	hip hop
Kota the Friend	rap
Kota the Friend	underground hip hop
Still Woozy	bedroom pop
Still Woozy	oakland indie
Cordae	dmv rap
Cordae	hip hop
Cordae	rap
Cordae	trap
Lupe Fiasco	chicago rap
Lupe Fiasco	conscious hip hop
Lupe Fiasco	gangster rap
Lupe Fiasco	hip hop
Lupe Fiasco	political hip hop
Lupe Fiasco	pop rap
Lupe Fiasco	rap
Lupe Fiasco	southern hip hop
Feng Suave	bedroom pop
Feng Suave	indie soul
Goth Babe	modern rock
Coast Modern	indie poptimism
Coast Modern	modern alternative rock
Coast Modern	modern rock
The Dip	deep new americana
The Dip	funk
The Dip	retro soul
Dr. Dog	indie folk
Dr. Dog	indie rock
Dr. Dog	modern folk rock
Dr. Dog	modern rock
Dr. Dog	philly indie
Dr. Dog	stomp and holler
Emancipator	downtempo
Emancipator	electronica
Emancipator	livetronica
Emancipator	nu jazz
Emancipator	trip hop
Hippo Campus	indie pop
Hippo Campus	indie poptimism
Hippo Campus	minneapolis indie
Hippo Campus	modern rock
Eli Smart	NA
Ratatat	alternative dance
Ratatat	indietronica
Ratatat	new rave
Sure Sure	indie pop
Sure Sure	indie poptimism
Sure Sure	indie rock
Sure Sure	la indie
Sure Sure	modern rock
Magic City Hippies	miami indie
Magic City Hippies	modern rock
Magic City Hippies	vapor soul
Sjowgren	indie folk
Sjowgren	indie pop
Sjowgren	indie poptimism
Sjowgren	indie rock
Sjowgren	modern rock
Sjowgren	stomp and holler
Catching Flies	downtempo
Catching Flies	electronica
Catching Flies	indie dream pop
Catching Flies	indie soul
Catching Flies	vapor soul
Shakey Graves	austin americana
Shakey Graves	austindie
Shakey Graves	deep new americana
Shakey Graves	indie folk
